datetime,index,id,type,title,desc,hot,createtime,url,img
2024-11-26 05:44:12,11,5157368793,知乎热榜,特朗普宣布将对墨西哥与加拿大商品征收 25% 关税，美国加大贸易壁垒将造成哪些影响？,据央视新闻客户端消息，当地时间25日，美国当选总统特朗普表示，将对墨西哥和加拿大进入美国的所有产品征收25%关税。（总台记者 马天静） 内容来源特朗普宣布将对墨西哥与加拿大商品征收25%关税_美国_总台_时间,74 万热度,2024-11-26 00:48:32,https://www.zhihu.com/question/5157368793,https://picx.zhimg.com/80/v2-2110f3ba2e3ae1e28dd3456199d9e85e_1440w.webp?source=1def8aca
2024-11-26 05:44:12,12,656724745,知乎热榜,骑行一段时间后，你认为哪些装备是刚需，哪些装备没必要？,,71 万热度,2024-05-21 11:43:19,https://www.zhihu.com/question/656724745,https://pic3.zhimg.com/50/v2-4d2969f99fcf9e3efb21450c5ce0d1de_b.jpg
2024-11-26 05:44:12,13,658130894,知乎热榜,《甄嬛传》中，浣碧对果郡王是真爱吗？,《甄嬛传》中，浣碧千方百计要嫁给果郡王，为果郡王殉情。那么，浣碧究竟是爱惨了果郡王失去了自我，还是她只是沉浸于无尽的自我感动中？,70 万热度,2024-06-05 03:47:43,https://www.zhihu.com/question/658130894,https://pic1.zhimg.com/50/v2-951b203a84e42adbe551f76b3658568c_b.jpg
2024-11-26 05:44:12,14,430895396,知乎热榜,内地为什么拍不出好的金庸武侠剧?,新版鹿鼎记，大家有目共睹，不再多说，以前有人说拍不出来是资金不够，剧本不行。可为啥现在腰包都鼓起来了，编剧手里的奖项拿到手软，还拍不出来好的作品来？,70 万热度,2020-11-18 12:06:28,https://www.zhihu.com/question/430895396,https://picx.zhimg.com/v2-3d4b8f0ecdb36087741261312b1f295e_xl.jpg?source=57bbeac9
2024-11-26 05:44:12,15,2597182066,知乎热榜,为什么很多人长大以后喜欢曹操？,,68 万热度,2024-10-30 10:17:10,https://www.zhihu.com/question/2597182066,https://picx.zhimg.com/50/v2-61d092149217916c6fc877bf22c9062f_b.jpg
2024-11-26 05:44:12,16,4225287128,知乎热榜,如何评价李庚希、魏大勋主演的电视剧《不讨好的勇气》？,,65 万热度,2024-11-15 04:18:11,https://www.zhihu.com/question/4225287128,https://pica.zhimg.com/80/v2-3670c52640a9baf1e6eb8e51bb1b867d_1440w.webp?source=1def8aca
2024-11-26 05:44:12,17,4020118041,知乎热榜,《庄子》写了很多残疾人（兀者）的故事，为什么？说明什么深刻的道理？,比如，《德充符》篇全是在写没有双腿的人（兀者）的故事。,65 万热度,2024-11-13 00:24:56,https://www.zhihu.com/question/4020118041,https://pic2.zhimg.com/50/v2-11ff9fe470b395f2d4e39ab9977f5e9f_b.jpg
2024-11-26 05:44:12,18,3996679441,知乎热榜,你会严格遵守你与孩子的约定或者说全力满足孩子提出的合理要求吗？,严格遵守你与孩子的约定有好些好处呢？孩子提出的合理要求是否都满足对于孩子以后的性格养成有哪些积极的作用？,61 万热度,2024-11-12 16:16:11,https://www.zhihu.com/question/3996679441,https://pica.zhimg.com/50/v2-9525309f7a3756ca248d53f71ab74db2_b.jpg
2024-11-26 05:44:12,19,3462786405,知乎热榜,有没有什么烹饪原理，明白后让你厨艺大增？,,61 万热度,2024-11-07 10:07:49,https://www.zhihu.com/question/3462786405,https://pic4.zhimg.com/50/v2-0898a2207dd42e4e7301d39a9b34e6c3_b.jpg
2024-11-26 05:44:12,20,4660462888,知乎热榜,为什么家长带孩子去做心理咨询，孩子会感到很压抑？,,59 万热度,2024-11-20 07:44:40,https://www.zhihu.com/question/4660462888,
2024-11-26 05:44:12,21,1810676011,知乎热榜,你买的第一个奢侈品是什么？可以分享下当时的心情吗？,,59 万热度,2024-10-23 08:25:34,https://www.zhihu.com/question/1810676011,https://pic1.zhimg.com/v2-27b5f1a85a6c71b3ae75da5254aff692_xl.jpg?source=57bbeac9
2024-11-26 05:44:12,22,5106598628,知乎热榜,马斯克转发中国无人机蜂群视频，配文称「现在还有傻子在生产 F-35 呢」，无人机能替代 F-35 吗？,当地时间11月24日，马斯克在社交媒体平台X上转发了中国无人机蜂群的视频，并配文称：“与此同时，一些白痴还在制造像F-35这样的有人驾驶战斗机。” 当一名X用户为F-35的性能辩护时，马斯克回应称，F-35战机的设计堪称“狗屎”。 F-35是由洛克希德·马丁公司设计及生产的第五代隐身多用途战斗机。F-35将是美国与其盟国在21世纪的主力战机，目前已有大约1000架F-35交付给美国军方及其盟国。 在F-35项目的整个生命周期内，计划生产的飞机总数超过3000架，其服役寿命预计将持续到2088年。据美国政府问责局估算，F-35项目的生产和维护总成本将超过2万亿美元。马斯克怒批F-35战机：无人机才是未来 F-35已成过去式,59 万热度,2024-11-25 10:14:11,https://www.zhihu.com/question/5106598628,https://picx.zhimg.com/267d1b973_xl.jpg?source=57bbeac9
2024-11-26 05:44:12,23,509212732,知乎热榜,《雪中悍刀行》姜泥为什么会喜欢上杀父仇人的儿子徐凤年?,我真不知道一个被灭国，父亲母亲都被徐凤年他爹杀了，还能爱上杀父母仇人的儿子是什么心理，不管扯什么没有徐骁也会灭国啥的，徐骁确实是姜泥的仇人，确实真真切切杀了她父母啊！不共戴天啊，难道就因为徐凤年他妈对她好一点，就能忘记国仇家恨了？我不理解我真不理解，如果这也能爱，我就是一大无语，没看过小说，就是看了一下电视剧，谁能给我解答解答姜泥这心理？斯德哥尔摩吗,59 万热度,2021-12-30 14:55:10,https://www.zhihu.com/question/509212732,https://pic3.zhimg.com/80/v2-8d35e3859dae8e2f43d3524c90c3b703_720w.png
2024-11-26 05:44:12,24,5065843720,知乎热榜,冰雪大世界糖葫芦摊位 100 万元起拍，这个价位的摊位费合理吗？游客购买糖葫芦会不会更贵？,日前，哈尔滨市拍卖行通过其公众号发布第二十六届哈尔滨冰雪大世界项目拍卖会的公告（以下简称“拍卖公告”），其中糖葫芦售卖点位起拍价100万元，竞买成功后需自备集装箱房引发关注。 据“拍卖公告”中的《26届冰雪大世界商服招商报名表》显示，参拍的经营单位须有营业执照、食品经营许可证，食品生产许可证（发证时间须满一年，注册地址在黑龙江省内，类别编号为糖葫芦专项编号3101）；经营单位所售卖产品需要符合相关职能部门审核要求，竞买成功后10日内须提交不少于5种产品最近批次的质检报告。 《26届冰雪大世界商服招商报名表》 上述报名表中写明，竞买成功后，须按照冰雪大世界给出的产品规格及指导价格执行。若发生违价行为，给予警告并处2000元罚款，从经营保证金中扣除，违价额度超过50%的视为严重违价，扣除5000元经营保证金。景区内部每接受投诉累计3次扣除5000元经营保证金；公共媒体、新闻媒体上每发现1次负面新闻及投诉，扣除5000元经营保证金，并取消经营资格。 此外，上述报名表中注明，冰糖葫芦售点位个数9，竞买成功后需自备集装箱房，具体尺寸要求为：长3米、宽3米、高2.7米，集装箱房外观须配合园区整体规划覆雪进行艺术造型，费用约为50万元，由竞买人承担。须符合冰雪大世界园区规划要求，经验收合格后方可营业，并附上了点位效果图。 据“拍卖公告”中附带的《第26届冰雪大世界园区糖葫芦售卖项目经营规范》中，对所售卖的糖葫芦的具体规格及售价进行了明示。如草莓6粒一串，285克，售价30元/串；大山楂9粒一串，95克，售价15元/串；什锦糖葫芦六样水果一串，260克，售价25元/串。其要求食材新鲜，应采购正规厂家品牌，在第26届冰雪大世界经营期间不可少于五种，须出具对应批次合规质检报告。 《第26届冰雪大世界园区糖葫芦售卖项目经营规范》 11月24日，红星新闻记者致电发布此公告的哈尔滨市拍卖行，工作人员表示此公告内容属实，是9个糖葫芦售卖点位打包，加起来的起拍价为100万元。 该工作人员介绍，有意愿的竞买者可在中拍平台搜索“哈尔滨市拍卖行”。相关拍卖公告的下方，有相关报名表的附件。竞买者需要按照报名表中要求的资质条件，携带相关证件原件、复印件及报名表，进行资质审查。审查通过了再联系拍卖公司办理竞拍手续。 “拍卖公告”显示，有意竞买者请按所报名项目竞拍文件中要求提供的资质文件，自行在中拍平台下载报名表，于2024年11月25日12时前的工作日到哈尔滨冰雪大世界完成资质审核并提交报名表，报名表经冰雪大世界签字确认后，于11月26日12时前携带有效身份证件及竞买保证金到哈尔滨市拍卖行办理竞买登记手续。今年哈尔滨冰雪大世界糖葫芦售卖点位起拍价100万元？拍卖公司：系9个点位打包价,57 万热度,2024-11-25 02:06:55,https://www.zhihu.com/question/5065843720,https://picx.zhimg.com/80/v2-77a8f66ac9c5812dc959b82c6f09b359_1440w.webp?source=1def8aca
2024-11-26 05:44:12,25,5068220172,知乎热榜,余承东官宣华为 Mate 70 新功能「AI 隔空传送」，你对该功能有哪些期待？,新功能AI隔空传送，看演示是隔空手势操控，跨设备传输内容。科技版“隔空取物”,57 万热度,2024-11-25 02:36:01,https://www.zhihu.com/question/5068220172,https://picx.zhimg.com/50/v2-d236d94333fe253d7adf5d8be6ee2ae1_b.jpg
2024-11-26 05:44:12,26,4466079402,知乎热榜,为什么王熙凤对林黛玉总是客客气气的？,,53 万热度,2024-11-18 03:47:24,https://www.zhihu.com/question/4466079402,https://pic2.zhimg.com/50/v2-b94d889cb8a81c14311b01c4f8634c03_b.jpg
2024-11-26 05:44:12,27,5057813547,知乎热榜,下半年首场寒潮来袭，北方多地有暴雪，你的城市下雪了吗？出行有哪些注意事项？,中央气象台预计，11月24日起至27日，我国大部地区气温将自西向东先后下降6℃至10℃。甘肃、内蒙古中东部、山西北部、河北北部、北京北部和西部山区、辽宁东部、吉林西部、黑龙江西部和北部等地部分地区有大雪或暴雪，内蒙古东北部、黑龙江北部局地有大暴雪；辽宁、吉林、黑龙江南部和东部有小到中雨转雨夹雪或中到大雪；局地新增积雪深度20厘米以上。,44 万热度,2024-11-24 23:56:28,https://www.zhihu.com/question/5057813547,https://pic2.zhimg.com/50/v2-a7e947f2dd12bcc4b12c238edfda75ed_b.jpg
2024-11-26 05:44:12,28,298361291,知乎热榜,什么样的ppt才是好的ppt？,ppt有没有一个标准? 听过一些关于ppt的课，有的做的很华丽，有的做的很简洁。有的人说ppt那么多修饰性元素，会分散听众的注意力。有的人说，学ppt要知道很多的，配色，审美都要提高才行，直接套模板就好了。很多模板看着确实精美。 看了同学做的花里胡哨的ppt，老师说做的很精美，我迷茫了。,42 万热度,2018-10-13 09:12:14,https://www.zhihu.com/question/298361291,https://picx.zhimg.com/50/v2-2dbfe6ab16f2b05080a2ce083c56f455_b.jpg
2024-11-26 05:44:12,29,4459710058,知乎热榜,如果每个人都是个体计算机，基因是硬件系统或固件，意识和思维是软件或应用，那么，root权限在哪里？,意识是神经元网络结合感官系统，与世界（存在）进行互动而产生的，它不能控制身体的机能（例如心脏跳动，例如疾病）。基因塑造了我们的躯体，也表达了我们的行为倾向，但是它并不是最终行为选择的完全控制者，例如身体要吃肉才能更健康，但是还是可以选择做素食主义，或者基因要繁衍，人还是可以选择丁克。那么，可以作为人主体的意识或者基因貌似都不能掌握完全的权利。谁才是身体的主人？,41 万热度,2024-11-18 02:31:21,https://www.zhihu.com/question/4459710058,https://pic2.zhimg.com/50/v2-a0b7e1319edd57f33cc7bb7a9e9a63f9_b.jpg
2024-11-26 05:44:12,30,4864262553,知乎热榜,小米高管发文称「雷军一条视频拯救了一家辣酱企业」，具体情况如何？如何评价雷军的带货能力？,11月22日，小米中国区市场部副总经理、REDMI品牌总经理王腾发文称：“这次我们K80性能太强，玩了个谐音梗：K80性能太狂暴辣，完爆13香！” 随后，王腾表示：“我特意找厂家定制了一些狂暴辣，转评送几份给大家尝尝。” 王腾还在社交平台分享了“狂暴辣”背后的故事。 据悉，今年夏天，雷军在出发去巴黎奥运会前，发布了一期“出差好物分享”。在这条视频里，行李里面不显眼的一角有一瓶玻璃瓶的辣酱。 视频发出后，有眼尖的网友认出了两种辣酱的品牌，其中玻璃瓶的辣酱品牌叫“饭遭殃”。 “饭遭殃”成立于重庆，已经有20多年的历史，不仅是重庆老字号，还是綦江区非物质文化遗产。但是其企业近况并不乐观，“已处在破产边缘”。 但在雷军发布视频两小时后，“饭遭殃”生产工厂的员工率先看到了这条视频，并敏锐地发现该辣酱正是饭遭殃所生产。随后，工人将视频转发到公司大群中，而直播运营团队也立马响应，快速赶到公司把直播开起来，之后辣酱一度卖断货，工厂也迅速扩大产能。 据了解，当时，重庆品牌“饭遭殃”曾留言“我要出国啦”，还将旗下一家电商公司账号的名字直接改为“饭遭殃巴黎行”。不少用户冲进“饭遭殃”的店铺抢购辣椒酱，并给雷军留言说：“买到了大佬同款。” 据悉，雷军视频发布后一个月，“饭遭殃”辣酱单月线上销售额就达到700多万元，再加上线下，总销售额超过1000多万元。 王腾表示：雷总的无心插柳地带动了饭遭殃辣酱的销量，用部分媒体的标题来说就是《雷军一条视频，让这家辣酱企业“起死回生”》。 王腾称：“这次REDMI团队在筹备发布会的时候，找到我，想要帮帮这家企业。于是，就有了这样一套定制的辣椒酱，我们将这些定制的辣椒酱包装成了礼盒，送给了本次受邀请参加发布会的媒体老师们。虽然定制的量并不大，但是我们相信随着媒体老师们的扩散分享，能够让更多的人知道这个辣酱品牌，那么就能帮到这个‘已处在破产边缘’品牌，同时还有这个企业背后的员工和他们的家庭。” 对此，不少网友纷纷留言评论：“我有理由怀疑你是在带货雷总同款辣酱”“国货品牌好产品就应该被发现，雷总的一条视频直接拯救了这家辣酱企业，太棒了”“就是看了雷总的视频。我们家买了四瓶，好吃的。”狂暴辣！“雷军一条视频拯救了一家辣酱企业”,39 万热度,2024-11-22 13:42:28,https://www.zhihu.com/question/4864262553,https://pic2.zhimg.com/50/v2-a01ea64671009f8e02b4b79e62f84e7d_b.jpg
